order_id,order_date,promised_date,shipped_date,country,store_id,channel,sku_id,quantity,unit_price,status,cancellation_reason
ORD000062,2024-10-23,2024-10-26,,Thailand,TH02,Omni,SKU0057,1,5270,Cancelled,Payment failure
ORD000063,2024-07-15,2024-07-17,2024-07-16,Malaysia,MY02,Boutique,SKU0028,1,1606,Shipped,
ORD000064,2024-10-15,2024-10-16,2024-10-17,Indonesia,ID01,Boutique,SKU0042,1,3121,Shipped,
ORD000065,2024-05-11,2024-05-14,2024-05-14,Indonesia,ID01,Boutique,SKU0068,3,2033,Shipped,
ORD000066,2024-07-07,2024-07-08,2024-07-07,Thailand,TH01,Boutique,SKU0038,1,717,Shipped,
ORD000067,2024-05-27,2024-05-29,2024-05-31,Singapore,SG02,Boutique,SKU0089,1,3280,Shipped,
ORD000068,2024-09-13,2024-09-17,2024-09-13,Thailand,TH02,Omni,SKU0058,1,1705,Shipped,
ORD000069,2024-02-02,2024-02-03,2024-02-04,Vietnam,VN01,Ecom,SKU0047,1,3621,Shipped,
ORD000070,2024-02-26,2024-02-29,2024-02-27,Indonesia,ID02,Boutique,SKU0069,2,840,Shipped,
ORD000071,2024-05-06,2024-05-07,2024-05-07,Indonesia,ID01,Boutique,SKU0043,3,1125,Shipped,
ORD000072,2024-05-18,2024-05-19,2024-05-19,Vietnam,VN02,Omni,SKU0040,2,1562,Shipped,
ORD000073,2024-11-30,2024-12-01,,Singapore,SG02,Boutique,SKU0035,1,3306,Cancelled,Payment failure
ORD000074,2024-03-05,2024-03-06,2024-03-05,Thailand,TH02,Boutique,SKU0014,2,2766,Shipped,
ORD000075,2024-05-13,2024-05-14,2024-05-14,Malaysia,MY01,Boutique,SKU0057,1,5270,Shipped,
ORD000076,2024-12-05,2024-12-08,2024-12-05,Vietnam,VN01,Ecom,SKU0041,1,1218,Shipped,
ORD000077,2024-08-19,2024-08-21,2024-08-21,Singapore,SG01,Boutique,SKU0046,2,4751,Shipped,
ORD000078,2024-05-02,2024-05-03,2024-05-03,Malaysia,MY02,Boutique,SKU0012,2,2938,Shipped,
ORD000079,2024-07-08,2024-07-09,2024-07-10,Singapore,SG02,Boutique,SKU0058,3,1705,Shipped,
ORD000080,2024-07-11,2024-07-12,2024-07-11,Vietnam,VN01,Boutique,SKU0064,1,3999,Shipped,
ORD000081,2024-11-16,2024-11-19,2024-11-17,Malaysia,MY01,Boutique,SKU0032,1,3080,Shipped,
ORD000082,2024-06-05,2024-06-08,2024-06-06,Singapore,SG02,Omni,SKU0083,1,805,Shipped,
ORD000083,2024-05-01,2024-05-02,2024-05-03,Indonesia,ID01,Boutique,SKU0036,1,6157,Shipped,
ORD000084,2024-07-04,2024-07-06,2024-07-05,Singapore,SG01,Ecom,SKU0032,1,3080,Shipped,
ORD000085,2024-03-31,2024-04-01,2024-04-04,Malaysia,MY02,Omni,SKU0077,1,3890,Shipped,
ORD000086,2024-12-12,2024-12-15,2024-12-13,Thailand,TH01,Ecom,SKU0095,1,632,Shipped,
ORD000087,2024-01-08,2024-01-09,2024-01-11,Vietnam,VN01,Ecom,SKU0035,1,3306,Shipped,
ORD000088,2024-07-07,2024-07-09,2024-07-09,Singapore,SG01,Boutique,SKU0068,2,2033,Shipped,
ORD000089,2024-02-10,2024-02-11,2024-02-12,Indonesia,ID02,Omni,SKU0090,1,3367,Shipped,
ORD000090,2024-11-16,2024-11-19,2024-11-19,Singapore,SG02,Ecom,SKU0045,3,1601,Shipped,
ORD000091,2024-10-16,2024-10-18,,Vietnam,VN02,Boutique,SKU0040,1,1562,Cancelled,Customer cancellation
ORD000092,2024-12-13,2024-12-16,2024-12-14,Thailand,TH02,Boutique,SKU0094,3,1092,Shipped,
ORD000093,2024-08-07,2024-08-08,2024-08-08,Vietnam,VN01,Boutique,SKU0076,1,1328,Shipped,
ORD000094,2024-03-25,2024-03-28,2024-03-27,Malaysia,MY02,Ecom,SKU0045,1,1601,Shipped,
ORD000095,2024-08-09,2024-08-10,,Indonesia,ID02,Boutique,SKU0022,1,1868,Cancelled,No stock
ORD000096,2024-12-02,2024-12-03,2024-12-05,Indonesia,ID01,Ecom,SKU0004,1,3457,Shipped,
ORD000097,2024-09-16,2024-09-18,2024-09-18,Malaysia,MY01,Boutique,SKU0042,1,3121,Shipped,
ORD000098,2024-06-19,2024-06-23,2024-06-19,Thailand,TH01,Boutique,SKU0073,1,2618,Shipped,
ORD000099,2024-06-26,2024-06-27,2024-06-27,Malaysia,MY01,Boutique,SKU0085,1,1663,Shipped,
ORD000100,2024-01-07,2024-01-08,2024-01-12,Singapore,SG01,Boutique,SKU0029,1,2091,Shipped,
ORD000101,2024-04-18,2024-04-19,2024-04-20,Singapore,SG01,Boutique,SKU0081,2,1720,Shipped,
ORD000102,2024-05-30,2024-06-01,2024-06-02,Thailand,TH02,Ecom,SKU0069,1,840,Shipped,
ORD000103,2024-02-19,2024-02-20,2024-02-20,Indonesia,ID01,Boutique,SKU0013,1,2065,Shipped,
ORD000104,2024-06-02,2024-06-03,2024-06-03,Indonesia,ID02,Boutique,SKU0008,2,3148,Shipped,
ORD000105,2024-04-08,2024-04-11,2024-04-08,Indonesia,ID02,Omni,SKU0040,1,1562,Shipped,
ORD000106,2024-06-11,2024-06-14,2024-06-14,Indonesia,ID02,Boutique,SKU0009,2,3675,Shipped,
ORD000107,2024-07-05,2024-07-08,2024-07-08,Vietnam,VN01,Ecom,SKU0064,1,3999,Shipped,
ORD000108,2024-11-01,2024-11-04,2024-11-03,Singapore,SG01,Boutique,SKU0090,1,3367,Shipped,
ORD000109,2024-05-22,2024-05-24,2024-05-23,Indonesia,ID01,Omni,SKU0061,2,1463,Shipped,
ORD000110,2024-03-12,2024-03-16,2024-03-13,Singapore,SG02,Boutique,SKU0047,2,3621,Shipped,
ORD000111,2024-11-25,2024-11-27,2024-11-26,Thailand,TH02,Omni,SKU0008,1,3148,Shipped,
ORD000112,2024-02-27,2024-02-28,2024-03-01,Indonesia,ID01,Omni,SKU0081,1,1720,Shipped,
ORD000113,2024-04-01,2024-04-03,,Indonesia,ID02,Omni,SKU0064,2,3999,Cancelled,No stock
ORD000114,2024-11-15,2024-11-17,2024-11-17,Malaysia,MY02,Ecom,SKU0080,3,1341,Shipped,
ORD000115,2024-03-03,2024-03-05,2024-03-06,Vietnam,VN02,Boutique,SKU0027,1,1066,Shipped,
ORD000116,2024-01-03,2024-01-05,2024-01-03,Indonesia,ID01,Omni,SKU0066,2,2912,Shipped,
ORD000117,2024-06-13,2024-06-15,2024-06-15,Singapore,SG01,Boutique,SKU0077,1,3890,Shipped,
ORD000118,2024-12-24,2024-12-27,2024-12-29,Malaysia,MY01,Boutique,SKU0053,1,1846,Shipped,
ORD000119,2024-08-12,2024-08-14,2024-08-13,Thailand,TH02,Ecom,SKU0055,2,6320,Shipped,
ORD000120,2024-05-26,2024-05-30,2024-05-26,Singapore,SG01,Omni,SKU0013,1,2065,Shipped,
ORD000121,2024-11-13,2024-11-16,,Indonesia,ID01,Boutique,SKU0091,1,1033,Cancelled,Payment failure
ORD000122,2024-03-15,2024-03-16,2024-03-16,Thailand,TH01,Boutique,SKU0071,2,1251,Shipped,
ORD000123,2024-02-04,2024-02-07,2024-02-05,Vietnam,VN01,Boutique,SKU0015,1,620,Shipped,
ORD000124,2024-05-05,2024-05-06,2024-05-07,Thailand,TH01,Omni,SKU0025,1,3795,Shipped,
ORD000125,2024-01-06,2024-01-08,2024-01-06,Vietnam,VN02,Omni,SKU0066,1,2912,Shipped,
ORD000126,2024-03-19,2024-03-21,2024-03-21,Thailand,TH02,Ecom,SKU0015,3,620,Shipped,
ORD000127,2024-05-02,2024-05-04,2024-05-04,Thailand,TH01,Boutique,SKU0088,1,1982,Shipped,
ORD000128,2024-09-16,2024-09-17,2024-09-18,Malaysia,MY01,Boutique,SKU0018,2,6218,Shipped,
ORD000129,2024-08-10,2024-08-13,2024-08-11,Indonesia,ID01,Boutique,SKU0096,2,5485,Shipped,
ORD000130,2024-11-05,2024-11-07,2024-11-06,Thailand,TH02,Boutique,SKU0075,1,2222,Shipped,
ORD000131,2024-01-07,2024-01-11,2024-01-10,Malaysia,MY02,Omni,SKU0100,1,3175,Shipped,
ORD000132,2024-01-08,2024-01-09,2024-01-08,Singapore,SG02,Boutique,SKU0030,2,1890,Shipped,
ORD000133,2024-04-08,2024-04-10,,Singapore,SG01,Boutique,SKU0086,3,1940,Cancelled,Customer cancellation
ORD000134,2024-07-23,2024-07-24,2024-07-24,Malaysia,MY01,Ecom,SKU0010,2,4038,Shipped,
ORD000135,2024-01-10,2024-01-11,2024-01-10,Singapore,SG01,Boutique,SKU0019,1,3269,Shipped,
ORD000136,2024-04-02,2024-04-03,2024-04-05,Malaysia,MY01,Omni,SKU0063,3,2798,Shipped,
ORD000137,2024-02-11,2024-02-12,2024-02-11,Vietnam,VN02,Boutique,SKU0075,2,2222,Shipped,
ORD000138,2024-12-08,2024-12-09,2024-12-11,Malaysia,MY02,Boutique,SKU0008,1,3148,Shipped,
ORD000139,2024-06-30,2024-07-03,2024-07-01,Indonesia,ID02,Ecom,SKU0029,1,2091,Shipped,
ORD000140,2024-06-10,2024-06-11,2024-06-12,Singapore,SG02,Ecom,SKU0003,1,5787,Shipped,
ORD000141,2024-09-26,2024-09-27,2024-09-28,Singapore,SG01,Boutique,SKU0045,1,1601,Shipped,
ORD000142,2024-01-07,2024-01-09,2024-01-07,Vietnam,VN02,Boutique,SKU0037,3,1142,Shipped,
ORD000143,2024-09-06,2024-09-07,2024-09-07,Vietnam,VN02,Boutique,SKU0045,1,1601,Shipped,
ORD000144,2024-02-03,2024-02-04,2024-02-03,Malaysia,MY01,Boutique,SKU0043,2,1125,Shipped,
ORD000145,2024-05-13,2024-05-14,2024-05-16,Singapore,SG01,Boutique,SKU0094,3,1092,Shipped,
ORD000146,2024-12-25,2024-12-26,2024-12-26,Malaysia,MY02,Boutique,SKU0028,2,1606,Shipped,
ORD000147,2024-05-08,2024-05-10,2024-05-10,Thailand,TH01,Boutique,SKU0076,2,1328,Shipped,
ORD000148,2024-08-21,2024-08-22,2024-08-22,Singapore,SG02,Boutique,SKU0015,1,620,Shipped,
ORD000149,2024-11-28,2024-11-30,2024-11-28,Vietnam,VN02,Omni,SKU0001,2,1505,Shipped,
ORD000150,2024-07-15,2024-07-16,2024-07-16,Thailand,TH02,Boutique,SKU0099,2,2292,Shipped,
ORD000151,2024-06-25,2024-06-27,2024-06-25,Indonesia,ID02,Boutique,SKU0035,1,3306,Shipped,
ORD000152,2024-10-14,2024-10-16,,Indonesia,ID02,Boutique,SKU0033,3,1461,Cancelled,Customer cancellation
ORD000153,2024-06-28,2024-07-01,2024-07-01,Thailand,TH02,Omni,SKU0058,2,1705,Shipped,
ORD000154,2024-12-31,2025-01-01,2025-01-04,Singapore,SG01,Boutique,SKU0056,1,604,Shipped,
ORD000155,2024-08-19,2024-08-20,2024-08-22,Thailand,TH01,Boutique,SKU0068,3,2033,Shipped,
ORD000156,2024-04-29,2024-04-30,2024-05-02,Malaysia,MY02,Ecom,SKU0061,1,1463,Shipped,
ORD000157,2024-12-15,2024-12-16,2024-12-17,Indonesia,ID01,Boutique,SKU0058,1,1705,Shipped,
ORD000158,2024-09-08,2024-09-09,2024-09-11,Vietnam,VN02,Boutique,SKU0037,2,1142,Shipped,
ORD000159,2024-07-04,2024-07-07,2024-07-05,Thailand,TH01,Boutique,SKU0066,1,2912,Shipped,
ORD000160,2024-07-19,2024-07-21,2024-07-20,Vietnam,VN01,Omni,SKU0027,1,1066,Shipped,
ORD000161,2024-04-26,2024-04-28,2024-04-28,Thailand,TH02,Boutique,SKU0073,2,2618,Shipped,
ORD000162,2024-01-31,2024-02-01,2024-02-02,Malaysia,MY01,Ecom,SKU0057,1,5270,Shipped,
ORD000163,2024-06-13,2024-06-14,2024-06-16,Vietnam,VN01,Boutique,SKU0001,1,1505,Shipped,
ORD000164,2024-05-21,2024-05-22,2024-05-21,Thailand,TH01,Ecom,SKU0069,2,840,Shipped,
ORD000165,2024-07-19,2024-07-21,2024-07-20,Thailand,TH01,Boutique,SKU0073,2,2618,Shipped,
ORD000166,2024-11-13,2024-11-16,2024-11-17,Malaysia,MY02,Boutique,SKU0076,1,1328,Shipped,
ORD000167,2024-06-06,2024-06-08,2024-06-06,Singapore,SG01,Boutique,SKU0036,1,6157,Shipped,
ORD000168,2024-02-28,2024-03-03,2024-03-03,Vietnam,VN01,Ecom,SKU0039,2,1305,Shipped,
ORD000169,2024-02-12,2024-02-13,2024-02-14,Indonesia,ID02,Ecom,SKU0032,1,3080,Shipped,
ORD000170,2024-10-21,2024-10-23,,Vietnam,VN02,Ecom,SKU0100,2,3175,Cancelled,Payment failure
ORD000171,2024-07-05,2024-07-06,2024-07-07,Thailand,TH01,Ecom,SKU0052,2,3221,Shipped,
ORD000172,2024-09-13,2024-09-14,2024-09-17,Malaysia,MY02,Boutique,SKU0094,2,1092,Shipped,
ORD000173,2024-11-05,2024-11-07,2024-11-05,Malaysia,MY02,Omni,SKU0049,3,2144,Shipped,
ORD000174,2024-01-01,2024-01-03,2024-01-02,Indonesia,ID01,Omni,SKU0043,1,1125,Shipped,
ORD000175,2024-04-15,2024-04-16,2024-04-19,Thailand,TH02,Boutique,SKU0065,1,1938,Shipped,
ORD000176,2024-01-03,2024-01-04,2024-01-04,Vietnam,VN02,Ecom,SKU0001,1,1505,Shipped,
ORD000177,2024-09-14,2024-09-17,2024-09-15,Vietnam,VN01,Omni,SKU0036,1,6157,Shipped,
ORD000178,2024-11-02,2024-11-04,2024-11-04,Singapore,SG01,Boutique,SKU0087,2,1775,Shipped,
ORD000179,2024-11-29,2024-11-30,2024-11-29,Indonesia,ID02,Boutique,SKU0091,1,1033,Shipped,
ORD000180,2024-04-15,2024-04-16,2024-04-17,Thailand,TH02,Boutique,SKU0005,1,3133,Shipped,
ORD000181,2024-09-27,2024-09-28,2024-09-27,Malaysia,MY02,Boutique,SKU0004,3,3457,Shipped,
ORD000182,2024-11-07,2024-11-08,2024-11-10,Singapore,SG02,Ecom,SKU0092,1,4344,Shipped,
ORD000183,2024-12-09,2024-12-12,2024-12-09,Thailand,TH01,Ecom,SKU0004,3,3457,Shipped,
ORD000184,2024-12-19,2024-12-22,2024-12-21,Indonesia,ID02,Boutique,SKU0055,1,6320,Shipped,
ORD000185,2024-07-06,2024-07-07,2024-07-08,Indonesia,ID01,Boutique,SKU0100,1,3175,Shipped,
ORD000186,2024-01-26,2024-01-27,2024-01-29,Vietnam,VN02,Boutique,SKU0043,3,1125,Shipped,
ORD000187,2024-12-19,2024-12-21,2024-12-22,Singapore,SG01,Boutique,SKU0055,2,6320,Shipped,
ORD000188,2024-01-31,2024-02-03,2024-02-01,Malaysia,MY01,Boutique,SKU0063,2,2798,Shipped,
ORD000189,2024-07-19,2024-07-21,,Indonesia,ID02,Boutique,SKU0057,1,5270,Cancelled,Payment failure
ORD000190,2024-05-17,2024-05-19,2024-05-18,Malaysia,MY02,Boutique,SKU0051,1,5193,Shipped,
ORD000191,2024-09-17,2024-09-19,2024-09-19,Indonesia,ID01,Boutique,SKU0011,1,1471,Shipped,
ORD000192,2024-01-10,2024-01-11,,Vietnam,VN01,Boutique,SKU0076,1,1328,Cancelled,Customer cancellation
ORD000193,2024-09-26,2024-09-29,2024-09-27,Vietnam,VN02,Boutique,SKU0097,1,3861,Shipped,
ORD000194,2024-12-16,2024-12-18,2024-12-16,Thailand,TH01,Omni,SKU0055,2,6320,Shipped,
ORD000195,2024-06-24,2024-06-26,2024-06-25,Indonesia,ID02,Ecom,SKU0071,2,1251,Shipped,
ORD000196,2024-02-24,2024-02-25,2024-02-25,Malaysia,MY01,Boutique,SKU0021,1,1349,Shipped,
ORD000197,2024-11-22,2024-11-24,2024-11-24,Malaysia,MY02,Ecom,SKU0013,3,2065,Shipped,
ORD000198,2024-01-01,2024-01-04,2024-01-02,Thailand,TH02,Boutique,SKU0059,2,1074,Shipped,
ORD000199,2024-12-12,2024-12-13,2024-12-14,Thailand,TH01,Boutique,SKU0066,2,2912,Shipped,
ORD000200,2024-02-05,2024-02-07,2024-02-06,Singapore,SG01,Ecom,SKU0049,2,2144,Shipped,
ORD000201,2024-12-24,2024-12-26,2024-12-25,Singapore,SG02,Boutique,SKU0014,2,2766,Shipped,
ORD000202,2024-05-19,2024-05-20,2024-05-20,Indonesia,ID01,Boutique,SKU0037,2,1142,Shipped,
ORD000203,2024-09-11,2024-09-14,2024-09-13,Vietnam,VN01,Ecom,SKU0037,3,1142,Shipped,
ORD000204,2024-10-30,2024-10-31,2024-10-31,Thailand,TH01,Boutique,SKU0053,3,1846,Shipped,
ORD000205,2024-07-12,2024-07-13,2024-07-13,Vietnam,VN01,Omni,SKU0025,1,3795,Shipped,
ORD000206,2024-03-23,2024-03-24,2024-03-23,Singapore,SG01,Omni,SKU0044,1,3020,Shipped,
ORD000207,2024-07-25,2024-07-26,2024-07-27,Indonesia,ID01,Omni,SKU0089,3,3280,Shipped,
ORD000208,2024-08-12,2024-08-15,,Thailand,TH01,Omni,SKU0074,2,669,Cancelled,Customer cancellation
ORD000209,2024-11-20,2024-11-22,2024-11-20,Thailand,TH02,Boutique,SKU0080,2,1341,Shipped,
ORD000210,2024-06-22,2024-06-26,2024-06-22,Indonesia,ID02,Boutique,SKU0097,1,3861,Shipped,
ORD000211,2024-11-25,2024-11-27,2024-11-27,Thailand,TH01,Boutique,SKU0080,1,1341,Shipped,
ORD000212,2024-05-12,2024-05-15,2024-05-13,Thailand,TH02,Ecom,SKU0063,2,2798,Shipped,
ORD000213,2024-11-22,2024-11-24,2024-11-24,Vietnam,VN01,Boutique,SKU0081,1,1720,Shipped,
ORD000214,2024-09-13,2024-09-14,2024-09-16,Indonesia,ID01,Ecom,SKU0030,2,1890,Shipped,
ORD000215,2024-02-23,2024-02-25,,Indonesia,ID01,Boutique,SKU0055,1,6320,Cancelled,No stock
ORD000216,2024-07-28,2024-07-29,2024-07-28,Vietnam,VN01,Omni,SKU0057,2,5270,Shipped,
ORD000217,2024-02-26,2024-02-27,2024-02-29,Vietnam,VN01,Boutique,SKU0039,2,1305,Shipped,
ORD000218,2024-10-26,2024-10-27,2024-10-28,Thailand,TH01,Omni,SKU0090,3,3367,Shipped,
ORD000219,2024-01-20,2024-01-21,2024-01-21,Indonesia,ID02,Boutique,SKU0025,1,3795,Shipped,
ORD000220,2024-06-13,2024-06-16,2024-06-15,Singapore,SG02,Boutique,SKU0049,3,2144,Shipped,
ORD000221,2024-07-09,2024-07-11,2024-07-10,Indonesia,ID01,Boutique,SKU0040,3,1562,Shipped,
ORD000222,2024-07-04,2024-07-05,,Vietnam,VN01,Boutique,SKU0004,2,3457,Cancelled,Address issue
ORD000223,2024-11-23,2024-11-25,2024-11-23,Vietnam,VN01,Boutique,SKU0082,1,6080,Shipped,
ORD000224,2024-09-09,2024-09-11,2024-09-12,Indonesia,ID02,Boutique,SKU0087,3,1775,Shipped,
ORD000225,2024-07-04,2024-07-05,2024-07-07,Malaysia,MY01,Boutique,SKU0057,3,5270,Shipped,
ORD000226,2024-10-18,2024-10-20,2024-10-19,Indonesia,ID01,Boutique,SKU0052,2,3221,Shipped,
ORD000227,2024-08-11,2024-08-12,2024-08-12,Malaysia,MY01,Omni,SKU0081,1,1720,Shipped,
ORD000228,2024-09-22,2024-09-23,2024-09-23,Thailand,TH02,Boutique,SKU0020,1,3985,Shipped,
ORD000229,2024-01-08,2024-01-10,2024-01-08,Thailand,TH01,Boutique,SKU0044,1,3020,Shipped,
ORD000230,2024-09-13,2024-09-14,2024-09-15,Malaysia,MY01,Boutique,SKU0089,1,3280,Shipped,
ORD000231,2024-01-02,2024-01-04,2024-01-02,Singapore,SG02,Boutique,SKU0062,2,471,Shipped,
ORD000232,2024-06-18,2024-06-20,2024-06-20,Vietnam,VN01,Boutique,SKU0016,1,1383,Shipped,
ORD000233,2024-07-22,2024-07-23,2024-07-25,Malaysia,MY01,Boutique,SKU0061,1,1463,Shipped,
ORD000234,2024-07-21,2024-07-23,2024-07-22,Malaysia,MY02,Omni,SKU0038,1,717,Shipped,
ORD000235,2024-07-31,2024-08-02,2024-08-01,Vietnam,VN02,Boutique,SKU0047,2,3621,Shipped,
ORD000236,2024-05-15,2024-05-19,2024-05-16,Indonesia,ID02,Ecom,SKU0076,2,1328,Shipped,
ORD000237,2024-02-28,2024-03-02,2024-02-28,Vietnam,VN01,Ecom,SKU0082,1,6080,Shipped,
ORD000238,2024-05-31,2024-06-04,2024-06-04,Malaysia,MY01,Ecom,SKU0023,1,5902,Shipped,
